,brand,model,variant,price,year,mileage,transmission,fuel,colour
4,,Berlingo Multispace (2008-2018),Berlingo Multispace (2008-2018) Flair,"14,495","46,551.0 miles",1.2,Petrol,5,Unknown
5,,Berlingo Multispace (2008-2018),Berlingo Multispace (2008-2018) Feel,"17,495","31,724.0 miles",1.6,Diesel,5,Unknown
0,,C4 SpaceTourer,C4 SpaceTourer Flair,"14,739",2018,"38,125.0",Manual,Diesel,Metallic - Platinum grey
1,,C4 SpaceTourer,C4 SpaceTourer Feel,"12,799","45,375.0 miles",1.2,Petrol,5,Unknown
2,,C4 SpaceTourer,C4 SpaceTourer Flair,"13,399","49,030.0 miles",1.6,Diesel,5,Unknown
3,,C4 SpaceTourer,C4 SpaceTourer Selection,"12,699","11,800.0 miles",1.6,Diesel,5,Unknown
4,,C4 SpaceTourer,C4 SpaceTourer Touch Edition,"14,899","18,750.0 miles",1.2,Petrol,5,Unknown
5,,C4 SpaceTourer,C4 SpaceTourer Touch Edition,"15,499","20,250.0 miles",1.2,Petrol,5,Unknown
6,,C4 SpaceTourer,C4 SpaceTourer Flair,"17,795",2019,"17,050.0",Manual,Petrol,Unknown
7,,C4 SpaceTourer,C4 SpaceTourer Feel,"15,995","31,471.0 miles",1.6,Diesel,5,Unknown
8,,C4 SpaceTourer,C4 SpaceTourer Feel,"14,995",2017,"14,260.0",Manual,Petrol,Metallic - Lazuli blue
9,,C4 SpaceTourer,C4 SpaceTourer Flair,"14,739",2018,"38,125.0",Manual,Diesel,Metallic - Platinum grey
10,,C4 SpaceTourer,C4 SpaceTourer Feel,"12,799","45,375.0 miles",1.2,Petrol,5,Unknown
11,,C4 SpaceTourer,C4 SpaceTourer Flair,"13,399","49,030.0 miles",1.6,Diesel,5,Unknown
12,,C4 SpaceTourer,C4 SpaceTourer Selection,"12,699","11,800.0 miles",1.6,Diesel,5,Unknown
13,,C4 SpaceTourer,C4 SpaceTourer Touch Edition,"14,899","18,750.0 miles",1.2,Petrol,5,Unknown
14,,C4 SpaceTourer,C4 SpaceTourer Touch Edition,"15,499","20,250.0 miles",1.2,Petrol,5,Unknown
15,,C4 SpaceTourer,C4 SpaceTourer Flair,"17,795",2019,"17,050.0",Manual,Petrol,Unknown
16,,C4 SpaceTourer,C4 SpaceTourer Feel,"15,995","31,471.0 miles",1.6,Diesel,5,Unknown
0,,Berlingo,Berlingo Feel,"15,995",2019,"9,933.0",Manual,Petrol,Solid - Icy white
1,,Berlingo,Berlingo Flair,"25,415",2021,"5,543.0",Automatic,Petrol,Metallic - Cumulus grey
2,,Berlingo,Berlingo Feel,"16,999","17,810.0 miles",1.5,Diesel,5,Unknown
3,,Berlingo,Berlingo Flair,"21,999","13,430.0 miles",1.5,Diesel,5,Unknown
4,,Berlingo,Berlingo Flair XTR,"14,250",2017,"43,124.0",Manual,Diesel,Unknown
5,,Berlingo,Berlingo Flair,"22,259",2019,"13,895.0",Automatic,Diesel,Special solid - Aqua Green
6,,Berlingo,Berlingo Flair,"16,512",2018,"44,819.0",Manual,Diesel,Metallic - Soft sand
7,,Berlingo,Berlingo Flair,"18,552",2019,"23,467.0",Manual,Diesel,Metallic - Deep blue
8,,Berlingo,Berlingo Feel,"15,252",2018,"31,515.0",Manual,Diesel,Metallic - Deep blue
9,,Berlingo,Berlingo Feel,"15,750",2019,"28,547.0",Manual,Diesel,Unknown
10,,Berlingo,Berlingo Feel,"17,885",2019,"6,974.0",Automatic,Diesel,Metallic - Deep blue
11,,Berlingo,Berlingo Flair,"18,694",2018,"13,851.0",Manual,Diesel,Unknown
12,,Berlingo,Berlingo Feel,"15,995",2019,"9,933.0",Manual,Petrol,Solid - Icy white
13,,Berlingo,Berlingo Flair,"25,415",2021,"5,543.0",Automatic,Petrol,Metallic - Cumulus grey
14,,Berlingo,Berlingo Feel,"16,999","17,810.0 miles",1.5,Diesel,5,Unknown
15,,Berlingo,Berlingo Flair,"21,999","13,430.0 miles",1.5,Diesel,5,Unknown
16,,Berlingo,Berlingo Flair XTR,"14,250",2017,"43,124.0",Manual,Diesel,Unknown
17,,Berlingo,Berlingo Flair,"22,259",2019,"13,895.0",Automatic,Diesel,Special solid - Aqua Green
18,,Berlingo,Berlingo Flair,"16,512",2018,"44,819.0",Manual,Diesel,Metallic - Soft sand
19,,Berlingo,Berlingo Flair,"18,552",2019,"23,467.0",Manual,Diesel,Metallic - Deep blue
0,,C5 Aircross,C5 Aircross Flair,"17,750",2019,"12,719.0",Manual,Petrol,Unknown
1,,C5 Aircross,C5 Aircross Flair,"20,995",2021,"7,778.0",Manual,Petrol,Metallic - Platinum grey
2,,C5 Aircross,C5 Aircross Flair,"21,052",2020,"27,232.0",Automatic,Diesel,Metallic - Perla nera black
3,,C5 Aircross,C5 Aircross Flair,"22,106",2020,"16,651.0",Automatic,Diesel,Unknown
4,,C5 Aircross,C5 Aircross Flair Plus,"21,695",2019,"11,600.0",Automatic,Diesel,Unknown
5,,C5 Aircross,C5 Aircross Flair,"24,299",2021,"6,516.0",Automatic,Diesel,Unknown
6,,C5 Aircross,C5 Aircross Flair,"18,340",2019,"33,400.0",Manual,Petrol,Unknown
7,,C5 Aircross,C5 Aircross Flair,"19,869",2019,"13,569.0",Manual,Petrol,Unknown
8,,C5 Aircross,C5 Aircross Flair Plus,"28,979",2020,"10,567.0",Automatic,Hybrid (Petrol),Unknown
9,,C5 Aircross,C5 Aircross Flair,"21,000",2019,"20,625.0",Automatic,Diesel,Metallic - Volcano red
10,,C5 Aircross,C5 Aircross Flair Plus,"21,495",2019,"2,525.0",Manual,Petrol,Unknown
11,,C5 Aircross,C5 Aircross Flair,"21,257",2019,"13,143.0",Automatic,Petrol,Unknown
12,,C5 Aircross,C5 Aircross Flair,"17,750",2019,"12,719.0",Manual,Petrol,Unknown
13,,C5 Aircross,C5 Aircross Flair,"20,995",2021,"7,778.0",Manual,Petrol,Metallic - Platinum grey
14,,C5 Aircross,C5 Aircross Flair,"21,052",2020,"27,232.0",Automatic,Diesel,Metallic - Perla nera black
15,,C5 Aircross,C5 Aircross Flair,"22,106",2020,"16,651.0",Automatic,Diesel,Unknown
